Geo,Year,TransitEthanolPropGasoline,TransitBiodieselPropDiesel,TransitRngPropCng
Albany,2010,0.1,0,0
Albany,2040,0.1,0,0
Bend,2010,0.1,0,0
Bend,2040,0.1,0,0
Corvallis,2010,0.1,0.2,0
Corvallis,2040,0.1,0.2,0
EugeneSpringfield,2010,0.1,0,0
EugeneSpringfield,2040,0.1,0,0
GrantsPass,2010,0.1,0,0
GrantsPass,2040,0.1,0,0
Metro,2010,0.1,0.05,0
Metro,2040,0.1,0.05,0
None,2040,0.1,0,0
None,2010,0.1,0,0
RogueValley,2010,0.1,0,0
RogueValley,2040,0.1,0,0
SalemKeizer,2010,0.1,0.05,0
SalemKeizer,2040,0.1,0.05,0
