Geo,Year,CenterPkgSpacesPerSFDU,InnerPkgSpacesPerSFDU,OuterPkgSpacesPerSFDU,CenterPkgSpacesPerMFDU,InnerPkgSpacesPerMFDU,OuterPkgSpacesPerMFDU,CenterPkgSpacesPerGQ,InnerPkgSpacesPerGQ,OuterPkgSpacesPerGQ
Albany,2040,7,7,7,7,7,7,7,7,7
Albany,2010,7,7,7,7,7,7,7,7,7
Bend,2040,7,7,7,7,7,7,7,7,7
Bend,2010,7,7,7,7,7,7,7,7,7
Corvallis,2040,7,7,7,7,7,7,7,7,7
Corvallis,2010,7,7,7,7,7,7,7,7,7
EugeneSpringfield,2010,7,7,7,7,7,7,7,7,7
EugeneSpringfield,2040,7,7,7,7,7,7,7,7,7
GrantsPass,2040,7,7,7,7,7,7,7,7,7
GrantsPass,2010,7,7,7,7,7,7,7,7,7
Metro,2040,7,7,7,7,7,7,7,7,7
Metro,2010,7,7,7,7,7,7,7,7,7
None,2010,7,7,7,7,7,7,7,7,7
None,2040,7,7,7,7,7,7,7,7,7
RogueValley,2010,7,7,7,7,7,7,7,7,7
RogueValley,2040,7,7,7,7,7,7,7,7,7
SalemKeizer,2010,7,7,7,7,7,7,7,7,7
SalemKeizer,2040,7,7,7,7,7,7,7,7,7
