Geo,Year,FwySmooth,ArtSmooth,LdvEcoDrive,HvyTrkEcoDrive
Albany,2010,0,0,0,0
Albany,2040,0.871,0.871,0.871,0.871
Bend,2040,0.871,0.871,0.871,0.871
Bend,2010,0.008,0.008,0.008,0.008
Corvallis,2040,0.871,0.871,0.871,0.871
Corvallis,2010,0.008,0.008,0.008,0.008
EugeneSpringfield,2010,0.008,0.008,0.008,0.008
EugeneSpringfield,2040,0.871,0.871,0.871,0.871
GrantsPass,2010,0,0,0,0
GrantsPass,2040,0.871,0.871,0.871,0.871
Metro,2010,0.008,0.008,0.008,0.008
Metro,2040,0.871,0.871,0.871,0.871
None,2010,0.008,0.008,0.008,0.008
None,2040,0.871,0.871,0.871,0.871
RogueValley,2010,0.008,0.008,0.008,0.008
RogueValley,2040,0.871,0.871,0.871,0.871
SalemKeizer,2010,0.008,0.008,0.008,0.008
SalemKeizer,2040,0.871,0.871,0.871,0.871
