Geo,Year,D3apo
D410290014002,2010,1.561181992
D410290013012,2010,3.16021425
D410290014001,2010,3.176715167
D410290014003,2010,14.332215
D410290013021,2010,1.387863257
D410290013025,2010,4.74
D410290013014,2010,1.672069216
D410290013011,2010,2.347449228
D410290011001,2010,2.714701451
D410290011003,2010,1.856243044
D410290009001,2010,2.820010085
D410290030011,2010,1.540544505
D410290010021,2010,9.83
D410290011002,2010,3.941993483
D410290013022,2010,2.642648935
D410290012001,2010,3.425841448
D410290012002,2010,5.21
D410290010013,2010,16.98056474
D410290010011,2010,15.5606622
D410290010014,2010,16.42
D410290010012,2010,21.44
D410290010023,2010,17.30214688
D410290010022,2010,30.37
D410290009002,2010,15.49032499
D410290009004,2010,5.430216694
D410290009003,2010,1.775555853
D410290015001,2010,2.870010606
D410290003002,2010,6.818726692
D410290008001,2010,4.01
D410290002011,2010,18.40138187
D410290002023,2010,23.33
D410290002021,2010,19.93
D410290002013,2010,23.54226459
D410290001002,2010,14.11
D410290001001,2010,10.55
D410290004061,2010,8.180229156
D410290003001,2010,11.76035748
D410290004052,2010,11.05045709
D410290004062,2010,11.92
D410290005023,2010,7.700049567
D410290005022,2010,15.17
D410290005011,2010,15.68
D410290005012,2010,16.04
D410290006013,2010,16.73
D410290005021,2010,14.93064785
D410290004051,2010,10.94044732
D410290004041,2010,14.46
D410290004042,2010,13.09
D410290004032,2010,15.67
D410290004031,2010,9.04
D410290025001,2010,1.072690113
D410290006023,2010,3.380014505
D410290006011,2010,5.13004342
D410290006012,2010,9.63
D410290006014,2010,15.46
D410290006021,2010,14.17
D410290006022,2010,17.73073975
D410290016011,2010,8.150098127
D410290007001,2010,5.060042224
D410290002012,2010,22.86
D410290002022,2010,19.84279083
D410290002033,2010,20.72208963
D410290002031,2010,21.91
D410290002032,2010,16.27
D410290007002,2010,15.72
D410290007005,2010,10.22
D410290007004,2010,6.04
D410290008002,2010,2.705080609
D410290015004,2010,5.66
D410290015003,2010,2.51
D410290015002,2010,2.660006025
D410290016024,2010,1.86
D410290007003,2010,2.34
D410290016023,2010,2.182059779
D410290016021,2010,4.22
D410290023001,2010,2.47
D410290017002,2010,4.470019716
D410290017001,2010,5.75
D410290016025,2010,15.26046934
D410290016012,2010,7.460334377
D410290016022,2010,11.82072848
D410290024001,2010,1.150645423
D410290024002,2010,1.939800332
D410290017003,2010,3.750822964
D410290017004,2010,15.53
D410290023002,2010,2.051307917
D410290021001,2010,2.74
D410290021002,2010,22.76
D410290021003,2010,7.42
D410290022001,2010,6.361623244
D410290020002,2010,24.6017566
D410290022002,2010,23.98
D410290019002,2010,16.31092354
D410290022003,2010,4.51
D410290022004,2010,10.60507376
D410290018003,2010,9.89
D410290018004,2010,16.23107186
D410290019001,2010,12.86061015
D410290018002,2010,8.22
D410290020001,2010,24.23177639
D410290018001,2010,5.457681961
D410290025003,2010,0.890748615
D410290013013,2010,16.17127608
D410290013024,2010,19.78
D410290013023,2010,18.4
D410290014002,2038,1.561181992
D410290013012,2038,3.16021425
D410290014001,2038,3.176715167
D410290014003,2038,14.332215
D410290013021,2038,1.387863257
D410290013025,2038,4.74
D410290013014,2038,1.672069216
D410290013011,2038,2.347449228
D410290011001,2038,2.714701451
D410290011003,2038,1.856243044
D410290009001,2038,2.820010085
D410290030011,2038,1.540544505
D410290010021,2038,9.83
D410290011002,2038,3.941993483
D410290013022,2038,2.642648935
D410290012001,2038,3.425841448
D410290012002,2038,5.21
D410290010013,2038,16.98056474
D410290010011,2038,15.5606622
D410290010014,2038,16.42
D410290010012,2038,21.44
D410290010023,2038,17.30214688
D410290010022,2038,30.37
D410290009002,2038,15.49032499
D410290009004,2038,5.430216694
D410290009003,2038,1.775555853
D410290015001,2038,2.870010606
D410290003002,2038,6.818726692
