strategy_label,strategy_description,strategy_level,category_name,category_label,category_description,category_instructions,policy_name,policy_label,policy_description,inputs
Community Design,Local policies to enable shorter trips and travel by alternate modes.,1,L,Land Use,Distribution of population and employment by place type.,"The form in which development occurs (density, regional assessibility, mixed use, etc.) represented by the distribution of population and employment by place type.",1,Base,Maintain current distribution.,azone_prop_sov_dvmt_diverted.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,1,B,Bicycles,"Network improvements, incentives, and technologies that encourage bicycling and other light-weight vehicle travel.","The diversion of single-occupant vehicle travel to bicycles, electric bicycles and other light-weight vehicles.",1,Base,Current bicyling percentage of SOV tours less than 20 miles (9.75%),azone_prop_sov_dvmt_diverted.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,1,T,Transit,Level of public transit service.,The extent and frequency of transit service.,1,Base,Current public transit service level.,marea_transit_service.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,1,P,Parking,Extent of and charges for priced parking.,The extent of paid parking and its price.,1,Base,Current extent and daily fee.,bzone_parking.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,2,L,Land Use,Distribution of population and employment by place type.,"The form in which development occurs (density, regional assessibility, mixed use, etc.) represented by the distribution of population and employment by place type.",2,Activity Center Growth,LU overlaps with HHsize + Population.,azone_prop_sov_dvmt_diverted.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,2,B,Bicycles,"Network improvements, incentives, and technologies that encourage bicycling and other light-weight vehicle travel.","The diversion of single-occupant vehicle travel to bicycles, electric bicycles and other light-weight vehicles.",1,Base,Current bicyling percentage of SOV tours less than 20 miles (9.75%),azone_prop_sov_dvmt_diverted.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,2,T,Transit,Level of public transit service.,The extent and frequency of transit service.,2,Double,Double public transit service level.,marea_transit_service.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,2,P,Parking,Extent of and charges for priced parking.,The extent of paid parking and its price.,1,Base,Current extent and daily fee.,bzone_parking.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,3,L,Land Use,Distribution of population and employment by place type.,"The form in which development occurs (density, regional assessibility, mixed use, etc.) represented by the distribution of population and employment by place type.",2,Activity Center Growth,LU overlaps with HHsize + Population.,azone_prop_sov_dvmt_diverted.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,3,B,Bicycles,"Network improvements, incentives, and technologies that encourage bicycling and other light-weight vehicle travel.","The diversion of single-occupant vehicle travel to bicycles, electric bicycles and other light-weight vehicles.",1,Base,Current bicyling percentage of SOV tours less than 20 miles (9.75%),azone_prop_sov_dvmt_diverted.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,3,T,Transit,Level of public transit service.,The extent and frequency of transit service.,3,Triple,Quadruple public transit service level.,marea_transit_service.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,3,P,Parking,Extent of and charges for priced parking.,The extent of paid parking and its price.,2,Increase parking cost and proportion,Increase parking cost by 100% and proportion charted by 10%.,bzone_parking.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,4,L,Land Use,Distribution of population and employment by place type.,"The form in which development occurs (density, regional assessibility, mixed use, etc.) represented by the distribution of population and employment by place type.",2,Activity Center Growth,LU overlaps with HHsize + Population.,azone_prop_sov_dvmt_diverted.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,4,B,Bicycles,"Network improvements, incentives, and technologies that encourage bicycling and other light-weight vehicle travel.","The diversion of single-occupant vehicle travel to bicycles, electric bicycles and other light-weight vehicles.",2,Double,Increase diversion of SOV tours to 20%,azone_prop_sov_dvmt_diverted.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,4,T,Transit,Level of public transit service.,The extent and frequency of transit service.,3,Triple,Quadruple public transit service level.,marea_transit_service.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,4,P,Parking,Extent of and charges for priced parking.,The extent of paid parking and its price.,2,Increase parking cost and proportion,Increase parking cost by 100% and proportion charted by 10%.,bzone_parking.csv
Marketing/Incentive,Local programs to improve driving efficiency & reduce auto demand.,1,D,Demand Management,Programs to encourage less private vehicle travel.,"Programs and incentives which encourage people to drive less including ridesharing, van pooling, telecommuting, and transit subsidies.",1,Base,Existing level,"bzone_travel_demand_mgt.csv,marea_operations_deployment.csv,bzone_travel_demand_mgt.csv"
Marketing/Incentive,Local programs to improve driving efficiency & reduce auto demand.,1,E,Driving Efficiency,Driving efficiency by increasing implementation of ITS.,,1,Base,Baseline implementation of ITS.,"marea_operations_deployment.csv,other_ops_effectiveness.csv,marea_operations_deployment.csv"
Marketing/Incentive,Local programs to improve driving efficiency & reduce auto demand.,2,D,Demand Management,Programs to encourage less private vehicle travel.,"Programs and incentives which encourage people to drive less including ridesharing, van pooling, telecommuting, and transit subsidies.",2,EcoProp & ImpProp,Increased the proportion by 10%,"bzone_travel_demand_mgt.csv,marea_operations_deployment.csv,bzone_travel_demand_mgt.csv"
Marketing/Incentive,Local programs to improve driving efficiency & reduce auto demand.,2,E,Driving Efficiency,Driving efficiency by increasing implementation of ITS.,,2,Fully implemented ITS,Increase the effectiveness of implementation of ITS.,"marea_operations_deployment.csv,other_ops_effectiveness.csv,marea_operations_deployment.csv"
Pricing,State-led policies that move towards true cost pricing.,1,C,Vehicle Travel Cost,Combination of fuel prices and charges to pay for roadway costs and possibly externalities.,The combination of fuel prices and vehicle travel charges to pay for roadways and to pay for externalities such as carbon pricing.,1,Base,No change in fuel prices or increase in roadway or externality charges.,"azone_hh_veh_own_taxes.csv,azone_payd_insurance_prop.csv,region_prop_externalities_paid.csv"
Pricing,State-led policies that move towards true cost pricing.,2,C,Vehicle Travel Cost,Combination of fuel prices and charges to pay for roadway costs and possibly externalities.,The combination of fuel prices and vehicle travel charges to pay for roadways and to pay for externalities such as carbon pricing.,2,Steady Ownership Cost/Tax,Keep the vehicle ownerhsip cost the same.,"azone_hh_veh_own_taxes.csv,azone_payd_insurance_prop.csv,region_prop_externalities_paid.csv"
Pricing,State-led policies that move towards true cost pricing.,3,C,Vehicle Travel Cost,Combination of fuel prices and charges to pay for roadway costs and possibly externalities.,The combination of fuel prices and vehicle travel charges to pay for roadways and to pay for externalities such as carbon pricing.,3,Payd insurance and higher cost,Higher climate cost and pay as you drive insurance.,"azone_hh_veh_own_taxes.csv,azone_payd_insurance_prop.csv,region_prop_externalities_paid.csv"
