strategy_label,strategy_description,strategy_level,category_name,category_label,category_description,category_instructions,policy_name,policy_label,policy_description,inputs
Community Design,Local policies to enable shorter trips and travel by alternate modes.,1,B,Bicycles,"Network improvements, incentives, and technologies that encourage bicycling and other light-weight vehicle travel.","The diversion of single-occupant vehicle travel to bicycles, electric bicycles and other light-weight vehicles.",1,Base,Current bicyling percentage of SOV tours less than 20 miles (9.75%),azone_prop_sov_dvmt_diverted.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,1,T,Transit,Level of public transit service.,The extent and frequency of transit service.,1,Base,Current public transit service level.,marea_transit_service.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,1,P,Parking,Extent of and charges for priced parking.,The extent of paid parking and its price.,1,Base,Current extent and daily fee.,bzone_parking.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,2,B,Bicycles,"Network improvements, incentives, and technologies that encourage bicycling and other light-weight vehicle travel.","The diversion of single-occupant vehicle travel to bicycles, electric bicycles and other light-weight vehicles.",1,Base,Current bicyling percentage of SOV tours less than 20 miles (9.75%),azone_prop_sov_dvmt_diverted.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,2,T,Transit,Level of public transit service.,The extent and frequency of transit service.,2,Double,Double public transit service level.,marea_transit_service.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,2,P,Parking,Extent of and charges for priced parking.,The extent of paid parking and its price.,1,Base,Current extent and daily fee.,bzone_parking.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,3,B,Bicycles,"Network improvements, incentives, and technologies that encourage bicycling and other light-weight vehicle travel.","The diversion of single-occupant vehicle travel to bicycles, electric bicycles and other light-weight vehicles.",1,Base,Current bicyling percentage of SOV tours less than 20 miles (9.75%),azone_prop_sov_dvmt_diverted.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,3,T,Transit,Level of public transit service.,The extent and frequency of transit service.,3,Triple,Quadruple public transit service level.,marea_transit_service.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,3,P,Parking,Extent of and charges for priced parking.,The extent of paid parking and its price.,2,Increase parking cost and proportion,Increase parking cost by 100% and proportion charted by 10%.,bzone_parking.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,4,B,Bicycles,"Network improvements, incentives, and technologies that encourage bicycling and other light-weight vehicle travel.","The diversion of single-occupant vehicle travel to bicycles, electric bicycles and other light-weight vehicles.",2,Double,Increase diversion of SOV tours to 20%,azone_prop_sov_dvmt_diverted.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,4,T,Transit,Level of public transit service.,The extent and frequency of transit service.,3,Triple,Quadruple public transit service level.,marea_transit_service.csv
Community Design,Local policies to enable shorter trips and travel by alternate modes.,4,P,Parking,Extent of and charges for priced parking.,The extent of paid parking and its price.,2,Increase parking cost and proportion,Increase parking cost by 100% and proportion charted by 10%.,bzone_parking.csv
