Geo,Year,PropWkrInRuralJobs,PropWkrInTownJobs,PropWkrInMetroJobs,PropMetroJobs,TownJobWkrRatio
Baker,1990,0.1032,0.8968,0,0,1.015
Benton,1990,0.0841,0.0894,0.8265,1,0.064
Clackamas,1990,0.05,0.0768,0.8732,0.1495,0.933
Clatsop,1990,0.117,0.883,0,0,1.125
Columbia,1990,0.1045,0.8955,0,0,1.179
Coos,1990,0.168,0.832,0,0,0.884
Crook,1990,0.1176,0.8824,0,0,1.032
Curry,1990,0.091,0.909,0,0,1.053
Deschutes,1990,0.0946,0.2042,0.7012,1,1.019
Douglas,1990,0.1999,0.8001,0,0,1.161
Gilliam,1990,0.3131,0.6869,0,0,0.839
Grant,1990,0.1758,0.8242,0,0,0.991
Harney,1990,0.2264,0.7736,0,0,1.041
Hood River,1990,0.3478,0.6522,0,0,1.15
Jackson,1990,0.0331,0.0426,0.9243,1,0.132
Jefferson,1990,0.2451,0.7549,0,0,0.936
Josephine,1990,0.0914,0.0952,0.8134,1,0.267
Klamath,1990,0.1549,0.8451,0,0,1.079
Lake,1990,0.2721,0.7279,0,0,0.946
Lane,1990,0.0617,0.1055,0.8328,1,0.758
Lincoln,1990,0.1187,0.8813,0,0,1.26
Linn,1990,0.1288,0.2126,0.6586,1,1.091
Malheur,1990,0.1783,0.8217,0,0,1.016
Marion,1990,0.0957,0.1584,0.7459,0.9772,0.984
Morrow,1990,0.3291,0.6709,0,0,1.157
Multnomah,1990,0.0145,0,0.9855,0.562,0
Polk,1990,0.1057,0.239,0.6553,0.0228,1.203
Sherman,1990,0.2309,0.7691,0,0,1.074
Tillamook,1990,0.2695,0.7305,0,0,1.092
Umatilla,1990,0.2367,0.7633,0,0,1.061
Union,1990,0.16,0.84,0,0,1.041
Wallowa,1990,0.1789,0.8211,0,0,1.005
Wasco,1990,0.1734,0.8266,0,0,1.168
Washington,1990,0.0238,0.035,0.9412,0.2885,0.162
Wheeler,1990,0.2171,0.7829,0,0,0.908
Yamhill,1990,0.1369,0.8631,0,0,1.457
Baker,1995,0.1032,0.8968,0,0,1.015
Benton,1995,0.0841,0.0894,0.8265,1,0.064
Clackamas,1995,0.05,0.0768,0.8732,0.1495,0.933
Clatsop,1995,0.117,0.883,0,0,1.125
Columbia,1995,0.1045,0.8955,0,0,1.179
Coos,1995,0.168,0.832,0,0,0.884
Crook,1995,0.1176,0.8824,0,0,1.032
Curry,1995,0.091,0.909,0,0,1.053
Deschutes,1995,0.0946,0.2042,0.7012,1,1.019
Douglas,1995,0.1999,0.8001,0,0,1.161
Gilliam,1995,0.3131,0.6869,0,0,0.839
