Geo,Year,FwyNoneCongChg.2010,FwyModCongChg.2010,FwyHvyCongChg.2010,FwySevCongChg.2010,FwyExtCongChg.2010,ArtNoneCongChg.2010,ArtModCongChg.2010,ArtHvyCongChg.2010,ArtSevCongChg.2010,ArtExtCongChg.2010
Albany,2010,0,0,0,0,0,0,0,0,0,0
Bend,2010,0,0,0,0,0,0,0,0,0,0
Corvallis,2010,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,2010,0,0,0,0,0,0,0,0,0,0
GrantsPass,2010,0,0,0,0,0,0,0,0,0,0
Metro,2010,0,0,0,0,0,0,0,0,0,0
RogueValley,2010,0,0,0,0,0,0,0,0,0,0
SalemKeizer,2010,0,0,0,0,0,0,0,0,0,0
None,2010,0,0,0,0,0,0,0,0,0,0
Albany,2040,0,0,0,0,0,0,0,0,0,0
Bend,2040,0,0,0,0,0,0,0,0,0,0
Corvallis,2040,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,2040,0,0,0,0,0,0,0,0,0,0
GrantsPass,2040,0,0,0,0,0,0,0,0,0,0
Metro,2040,0,0,0,0.193,0.193,0,0,0,0.193,0.193
RogueValley,2040,0,0,0,0,0,0,0,0,0,0
SalemKeizer,2040,0,0,0,0,0,0,0,0,0,0
None,2040,0,0,0,0,0,0,0,0,0,0
