Geo,Year,CenterEcoProp,InnerEcoProp,OuterEcoProp,FringeEcoProp,CenterImpProp,InnerImpProp,OuterImpProp,FringeImpProp
Albany,2010,0,0,0,0,0,0,0,0
Albany,2040,0.14,0.14,0,0,0.08,0.08,0,0
Bend,2010,0.01,0.01,0,0,0.01,0.01,0,0
Bend,2040,0.17,0.17,0,0,0.11,0.11,0,0
Corvallis,2010,0.01,0.01,0,0,0.01,0.01,0,0
Corvallis,2040,0.17,0.17,0,0,0.11,0.11,0,0
EugeneSpringfield,2010,0.048,0.048,0,0,0,0,0,0
EugeneSpringfield,2040,0.43,0.43,0,0,0.23,0.23,0,0
GrantsPass,2040,0.14,0.14,0,0,0.08,0.08,0,0
GrantsPass,2010,0,0,0,0,0,0,0,0
Metro,2010,0.2,0.2,0,0,0.09,0.09,0,0
Metro,2040,0.45,0.45,0,0,0.77,0.77,0,0
None,2010,0,0,0,0,0,0,0,0
None,2040,0.14,0.14,0,0,0.08,0.08,0,0
RogueValley,2010,0.01,0.01,0,0,0.01,0.01,0,0
RogueValley,2040,0.17,0.17,0,0,0.11,0.11,0,0
SalemKeizer,2010,0.2,0.2,0,0,0.01,0.01,0,0
SalemKeizer,2040,0.43,0.43,0,0,0.23,0.23,0,0
