Year,HvyTrkIcevMpg,HvyTrkHevMpg,HvyTrkBevMpkwh
1990,6,NA,0.408697554
1991,6.02,NA,0.408697554
1992,6.04,NA,0.408697554
1993,6.06,NA,0.408697554
1994,6.08,NA,0.408697554
1995,6.1,NA,0.408697554
1996,6.04,NA,0.408697554
1997,5.98,NA,0.408697554
1998,5.92,NA,0.408697554
1999,5.86,NA,0.408697554
2000,5.8,NA,0.408697554
2001,5.84,NA,0.408697554
2002,5.88,NA,0.408697554
2003,5.92,NA,0.408697554
2004,5.96,NA,0.408697554
2005,6,NA,0.408697554
2006,6.04,NA,0.408697554
2007,6.08,NA,0.408697554
2008,6.12,NA,0.408697554
2009,6.16,NA,0.408697554
2010,6.2,NA,0.408697554
2011,6.202,NA,0.4112519138
2012,6.204,NA,0.4138062736
2013,6.206,NA,0.4163606334
2014,6.208,NA,0.4189149932
2015,6.21,NA,0.421469353
2016,6.206,NA,0.4240237126
2017,6.202,NA,0.4265780722
2018,6.198,NA,0.4291324318
2019,6.194,NA,0.4316867914
2020,6.19,NA,0.434241151
2021,6.344,NA,0.4380726906
2022,6.498,NA,0.4419042302
2023,6.652,NA,0.4457357698
2024,6.806,NA,0.4495673094
2025,6.96,NA,0.453398849
2026,7.1,NA,0.4597847482
2027,7.24,NA,0.4661706474
2028,7.38,NA,0.4725565466
2029,7.52,NA,0.4789424458
2030,7.66,NA,0.485328345
2031,7.794,NA,0.4929914242
2032,7.928,NA,0.5006545034
2033,8.062,NA,0.5083175826
2034,8.196,NA,0.5159806618
2035,8.33,NA,0.523643741
2036,8.414,NA,0.5313068202
2037,8.498,NA,0.5389698994
2038,8.582,NA,0.5466329786
2039,8.666,NA,0.5542960578
2040,8.75,NA,0.561959137
2041,8.798,NA,0.5683450362
2042,8.846,NA,0.5747309354
2043,8.894,NA,0.5811168346
2044,8.942,NA,0.5875027338
2045,8.99,NA,0.593888633
2046,9.024,NA,0.5989973524
2047,9.058,NA,0.6041060718
2048,9.092,NA,0.6092147912
2049,9.126,NA,0.6143235106
2050,9.16,NA,0.61943223
