Year,VanPropIcev,VanPropHev,VanPropBev,BusPropIcev,BusPropHev,BusPropBev,RailPropIcev,RailPropHev,RailPropEv
1990,1,0,0,1,0,0,0,0,1
1995,1,0,0,1,0,0,0,0,1
2000,1,0,0,1,0,0,0,0,1
2005,1,0,0,1,0,0,0,0,1
2010,1,0,0,1,0,0,0.027303359,0,0.972696641
2015,1,0,0,1,0,0,0.02305353,0,0.97694647
2020,1,0,0,1,0,0,0.02305353,0,0.97694647
2025,1,0,0,1,0,0,0.02305353,0,0.97694647
2030,1,0,0,1,0,0,0.02305353,0,0.97694647
2035,1,0,0,1,0,0,0.02305353,0,0.97694647
2040,1,0,0,1,0,0,0.02305353,0,0.97694647
2045,1,0,0,1,0,0,0.02305353,0,0.97694647
2050,1,0,0,1,0,0,0.02305353,0,0.97694647
