Year,AutoPropIcev,AutoPropHev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropBev
1990,1,0,0,1,0,0
1991,1,0,0,1,0,0
1992,1,0,0,1,0,0
1993,1,0,0,1,0,0
1994,1,0,0,1,0,0
1995,1,0,0,1,0,0
1996,1,0,0,1,0,0
1997,1,0,0,1,0,0
1998,1,0,0,1,0,0
1999,1,0,0,1,0,0
2000,1,0,0,1,0,0
2001,0.999,0.001,0,1,0,0
2002,0.998,0.002,0,1,0,0
2003,0.997,0.003,0,1,0,0
2004,0.996,0.004,0,1,0,0
2005,0.995,0.005,0,1,0,0
2006,0.991,0.009,0,0.999,0.001,0
2007,0.987,0.013,0,0.998,0.002,0
2008,0.983,0.017,0,0.997,0.003,0
2009,0.979,0.021,0,0.996,0.004,0
2010,0.975,0.025,0,0.995,0.005,0
2011,0.9694,0.0296,0.001,0.9946,0.0054,0
2012,0.9638,0.0342,0.002,0.9942,0.0058,0
2013,0.9582,0.0388,0.003,0.9938,0.0062,0
2014,0.9526,0.0434,0.004,0.9934,0.0066,0
2015,0.947,0.048,0.005,0.993,0.007,0
2016,0.9416,0.0506,0.0078,0.9918,0.0076,6.e-4
2017,0.9362,0.0532,0.0106,0.9906,0.0082,0.0012
2018,0.9308,0.0558,0.0134,0.9894,0.0088,0.0018
2019,0.9254,0.0584,0.0162,0.9882,0.0094,0.0024
2020,0.92,0.061,0.019,0.987,0.01,0.003
2021,0.9098,0.0632,0.027,0.9842,0.0104,0.0054
2022,0.8996,0.0654,0.035,0.9814,0.0108,0.0078
2023,0.8894,0.0676,0.043,0.9786,0.0112,0.0102
2024,0.8792,0.0698,0.051,0.9758,0.0116,0.0126
2025,0.869,0.072,0.059,0.973,0.012,0.015
2026,0.8564,0.0736,0.07,0.9694,0.0124,0.0182
2027,0.8438,0.0752,0.081,0.9658,0.0128,0.0214
2028,0.8312,0.0768,0.092,0.9622,0.0132,0.0246
2029,0.8186,0.0784,0.103,0.9586,0.0136,0.0278
2030,0.806,0.08,0.114,0.955,0.014,0.031
2031,0.7926,0.081,0.1264,0.9514,0.0144,0.0342
2032,0.7792,0.082,0.1388,0.9478,0.0148,0.0374
2033,0.7658,0.083,0.1512,0.9442,0.0152,0.0406
2034,0.7524,0.084,0.1636,0.9406,0.0156,0.0438
2035,0.739,0.085,0.176,0.937,0.016,0.047
2036,0.726,0.0858,0.1882,0.934,0.0162,0.0498
2037,0.713,0.0866,0.2004,0.931,0.0164,0.0526
2038,0.7,0.0874,0.2126,0.928,0.0166,0.0554
2039,0.687,0.0882,0.2248,0.925,0.0168,0.0582
2040,0.674,0.089,0.237,0.922,0.017,0.061
2041,0.6634,0.0894,0.2472,0.9198,0.0172,0.063
2042,0.6528,0.0898,0.2574,0.9176,0.0174,0.065
2043,0.6422,0.0902,0.2676,0.9154,0.0176,0.067
2044,0.6316,0.0906,0.2778,0.9132,0.0178,0.069
2045,0.621,0.091,0.288,0.911,0.018,0.071
2046,0.613,0.091,0.296,0.9094,0.0182,0.0724
2047,0.605,0.091,0.304,0.9078,0.0184,0.0738
2048,0.597,0.091,0.312,0.9062,0.0186,0.0752
2049,0.589,0.091,0.32,0.9046,0.0188,0.0766
2050,0.581,0.091,0.328,0.903,0.019,0.078
