Year,AutoPropIcev,AutoPropHev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropBev
1990,1,0,0,1,0,0
1995,1,0,0,1,0,0
2000,1,0,0,1,0,0
2005,0.988,0.012,0.00E+00,1,0,0
2010,0.944,0.056,0,0.995,0.005,0.00E+00
2015,0.935,0.06,0.005,0.992,0.008,0.00E+00
2020,0.908,0.072,0.02,0.989,0.01,0.001
2025,0.869,0.08,0.051,0.98,0.012,0.008
2030,0.819,0.084,0.097,0.967,0.013,0.02
2035,0.761,0.087,0.152,0.954,0.016,0.03
2040,0.704,0.086,0.21,0.944,0.017,0.039
2045,0.647,0.09,0.263,0.936,0.018,0.046
2050,0.601,0.091,0.308,0.931,0.018,0.051
