Year,LdIce,LdHev,LdEv,LdFcv,HdIce
1990,0.1,0.1,0.1,0.1,0.1
1991,0.11,0.11,0.11,0.11,0.11
1992,0.12,0.12,0.12,0.12,0.12
1993,0.13,0.13,0.13,0.13,0.13
1994,0.14,0.14,0.14,0.14,0.14
1995,0.15,0.15,0.15,0.15,0.15
1996,0.16,0.16,0.16,0.16,0.16
1997,0.17,0.17,0.17,0.17,0.17
1998,0.18,0.18,0.18,0.18,0.18
1999,0.19,0.19,0.19,0.19,0.19
2000,0.2,0.2,0.2,0.2,0.2
2001,0.21,0.21,0.21,0.21,0.21
2002,0.22,0.22,0.22,0.22,0.22
2003,0.23,0.23,0.23,0.23,0.23
2004,0.24,0.24,0.24,0.24,0.24
2005,0.25,0.25,0.25,0.25,0.25
2006,0.26,0.26,0.26,0.26,0.26
2007,0.27,0.27,0.27,0.27,0.27
2008,0.28,0.28,0.28,0.28,0.28
2009,0.29,0.29,0.29,0.29,0.29
2010,0.3,0.3,0.3,0.3,0.3
2011,0.332,0.332,0.334,0.332,0.33
2012,0.364,0.364,0.368,0.364,0.36
2013,0.396,0.396,0.402,0.396,0.39
2014,0.428,0.428,0.436,0.428,0.42
2015,0.46,0.46,0.47,0.46,0.45
2016,0.468,0.468,0.476,0.468,0.46
2017,0.476,0.476,0.482,0.476,0.47
2018,0.484,0.484,0.488,0.484,0.48
2019,0.492,0.492,0.494,0.492,0.49
2020,0.5,0.5,0.5,0.5,0.5
2021,0.5,0.5,0.5,0.5,0.5
2022,0.5,0.5,0.5,0.5,0.5
2023,0.5,0.5,0.5,0.5,0.5
2024,0.5,0.5,0.5,0.5,0.5
2025,0.5,0.5,0.5,0.5,0.5
2026,0.5,0.5,0.5,0.5,0.5
2027,0.5,0.5,0.5,0.5,0.5
2028,0.5,0.5,0.5,0.5,0.5
2029,0.5,0.5,0.5,0.5,0.5
2030,0.5,0.5,0.5,0.5,0.5
2031,0.5,0.5,0.5,0.5,0.5
2032,0.5,0.5,0.5,0.5,0.5
2033,0.5,0.5,0.5,0.5,0.5
2034,0.5,0.5,0.5,0.5,0.5
2035,0.5,0.5,0.5,0.5,0.5
2036,0.5,0.5,0.5,0.5,0.5
2037,0.5,0.5,0.5,0.5,0.5
2038,0.5,0.5,0.5,0.5,0.5
2039,0.5,0.5,0.5,0.5,0.5
2040,0.5,0.5,0.5,0.5,0.5
2041,0.5,0.5,0.5,0.5,0.5
2042,0.5,0.5,0.5,0.5,0.5
2043,0.5,0.5,0.5,0.5,0.5
2044,0.5,0.5,0.5,0.5,0.5
2045,0.5,0.5,0.5,0.5,0.5
2046,0.5,0.5,0.5,0.5,0.5
2047,0.5,0.5,0.5,0.5,0.5
2048,0.5,0.5,0.5,0.5,0.5
2049,0.5,0.5,0.5,0.5,0.5
2050,0.5,0.5,0.5,0.5,0.5
