ModelYear,AutoPropIcev,AutoPropHev,AutoPropPhev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropPhev,LtTrkPropBev
1975,1,0,0,0,1,0,0,0
1976,1,0,0,0,1,0,0,0
1977,1,0,0,0,1,0,0,0
1978,1,0,0,0,1,0,0,0
1979,1,0,0,0,1,0,0,0
1980,1,0,0,0,1,0,0,0
1981,1,0,0,0,1,0,0,0
1982,1,0,0,0,1,0,0,0
1983,1,0,0,0,1,0,0,0
1984,1,0,0,0,1,0,0,0
1985,1,0,0,0,1,0,0,0
1986,1,0,0,0,1,0,0,0
1987,1,0,0,0,1,0,0,0
1988,1,0,0,0,1,0,0,0
1989,1,0,0,0,1,0,0,0
1990,1,0,0,0,1,0,0,0
1991,1,0,0,0,1,0,0,0
1992,1,0,0,0,1,0,0,0
1993,1,0,0,0,1,0,0,0
1994,1,0,0,0,1,0,0,0
1995,1,0,0,0,1,0,0,0
1996,1,0,0,0,1,0,0,0
1997,1,0,0,0,1,0,0,0
1998,1,0,0,0,1,0,0,0
1999,1,0,0,0,1,0,0,0
2000,1,0,0,0,1,0,0,0
2001,0.991612788,0.008387212,0,0,1,0,0,0
2002,0.989735317,0.010264683,0,0,1,0,0,0
2003,0.986706637,0.013293363,0,0,1,0,0,0
2004,0.974863388,0.025136612,0,0,1,0,0,0
2005,0.95037894,0.04962106,0,0,1,0,0,0
2006,0.96351328,0.03648672,0,0,0.978828875,0.021171125,0,0
2007,0.914696814,0.085303186,0,0,0.983826975,0.016173025,0,0
2008,0.925144684,0.074756748,0,0,0.975259304,0.024740696,0,0
2009,0.94307072,0.05692928,0,0,0.979199505,0.020800495,0,0
2010,0.878613293,0.121270484,0,0.000116223,0.982021904,0.017978096,0,0
2011,0.922389619,0.068849604,0.000574763,0.008186014,0.992599086,0.007400914,0,0
2012,0.888763128,0.09637809,0.008080861,0.006777921,0.993146925,0.006803174,0,0
2013,0.884993772,0.086188697,0.011907024,0.016910507,0.979457386,0.020528715,0,0
2014,0.897347887,0.080078259,0.010789227,0.011784627,0.994422342,0.005538654,0,0
2015,0.904672053,0.068891454,0.006513775,0.019922718,0.992464213,0.007435606,0.00010018,0
2016,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2017,0.893747347,0.066486009,0.014840494,0.02492615,0.974774985,0.014633352,0.0032382,0.007353463
2018,0.875389517,0.074610483,0.013349084,0.036650916,0.970176695,0.013156638,0.004449695,0.012216972
2019,0.853147233,0.076852767,0.015082581,0.054917419,0.962844145,0.013822521,0.005027527,0.018305806
2020,0.821151391,0.078848609,0.020150543,0.079849457,0.95237978,0.014286887,0.006716848,0.026616486
2021,0.798896094,0.081103906,0.022870294,0.097129706,0.945380744,0.014619256,0.007623431,0.032376569
2022,0.787437057,0.082562943,0.021276573,0.108723427,0.941712832,0.014953834,0.007092191,0.036241142
2023,0.76601368,0.08398632,0.024404842,0.125595158,0.934581203,0.015418797,0.008134947,0.041865053
2024,0.753948366,0.086051634,0.026256941,0.133743059,0.930693751,0.015972915,0.008752314,0.04458102
2025,0.744891005,0.085108995,0.026356757,0.143643243,0.927173002,0.016160331,0.008785586,0.047881081
2026,0.723509186,0.086490814,0.02862323,0.16137677,0.92012512,0.016541547,0.009541077,0.053792257
2027,0.702189637,0.087810363,0.030694819,0.179305181,0.913050969,0.016949031,0.010231606,0.059768394
2028,0.690764822,0.088957155,0.031943882,0.188334141,0.912227279,0.017311125,0.010272946,0.060188651
2029,0.678312141,0.089982668,0.033986829,0.197718362,0.910313042,0.017641854,0.010499847,0.061545258
2030,0.667585917,0.090829378,0.03579301,0.205791695,0.909289205,0.017893649,0.010590214,0.062226933
2031,0.656263312,0.091708805,0.036601963,0.21542592,0.908490878,0.01809593,0.01064453,0.062768662
2032,0.64508808,0.092376394,0.037423896,0.22511163,0.906875251,0.01826516,0.010840699,0.06401889
2033,0.633208099,0.09268926,0.038109581,0.23599306,0.905218372,0.018432638,0.011039558,0.065309432
2034,0.621743598,0.092770426,0.038691971,0.246794005,0.903636315,0.018589548,0.011221442,0.066552695
2035,0.611310495,0.092734493,0.039109163,0.256845849,0.902578922,0.018709161,0.011319511,0.067392406
2036,0.60193404,0.092610434,0.039512737,0.265942788,0.901614542,0.018799054,0.011406132,0.068180271
2037,0.592006339,0.092552118,0.039922015,0.275519527,0.900294395,0.018931186,0.011532402,0.069242017
2038,0.584121492,0.092426257,0.040007523,0.283444727,0.900228152,0.019000211,0.011462983,0.069308653
