Year,HvyTrkPropIcev,HvyTrkPropHev,HvyTrkPropBev
1990,1,0,0
1991,1,0,0
1992,1,0,0
1993,1,0,0
1994,1,0,0
1995,1,0,0
1996,1,0,0
1997,1,0,0
1998,1,0,0
1999,1,0,0
2000,1,0,0
2001,1,0,0
2002,1,0,0
2003,1,0,0
2004,1,0,0
2005,1,0,0
2006,1,0,0
2007,1,0,0
2008,1,0,0
2009,1,0,0
2010,1,0,0
2011,1,0,0
2012,1,0,0
2013,1,0,0
2014,1,0,0
2015,1,0,0
2016,1,0,0
2017,1,0,0
2018,1,0,0
2019,1,0,0
2020,1,0,0
2021,1,0,0
2022,1,0,0
2023,1,0,0
2024,1,0,0
2025,1,0,0
2026,1,0,0
2027,1,0,0
2028,1,0,0
2029,1,0,0
2030,1,0,0
2031,1,0,0
2032,1,0,0
2033,1,0,0
2034,1,0,0
2035,1,0,0
2036,1,0,0
2037,1,0,0
2038,1,0,0
2039,1,0,0
2040,1,0,0
2041,0.998,0,0.002
2042,0.996,0,0.004
2043,0.994,0,0.006
2044,0.992,0,0.008
2045,0.99,0,0.01
2046,0.988,0,0.012
2047,0.986,0,0.014
2048,0.984,0,0.016
2049,0.982,0,0.018
2050,0.98,0,0.02
