Year,EthanolPropGasoline,BiodieselPropDiesel,RngPropCng
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,0,0
2000,0,0,0
2001,0.02,0.002,0
2002,0.04,0.004,0
2003,0.06,0.006,0
2004,0.08,0.008,0
2005,0.1,0.01,0
2006,0.1,0.018,0
2007,0.1,0.026,0
2008,0.1,0.034,0
2009,0.1,0.042,0
2010,0.1,0.05,0
2011,0.092,0.05,0
2012,0.084,0.05,0
2013,0.076,0.05,0
2014,0.068,0.05,0
2015,0.06,0.05,0
2016,0.06,0.05,0
2017,0.06,0.05,0
2018,0.06,0.05,0
2019,0.06,0.05,0
2020,0.06,0.05,0
2021,0.06,0.05,0
2022,0.06,0.05,0
2023,0.06,0.05,0
2024,0.06,0.05,0
2025,0.06,0.05,0
2026,0.06,0.05,0
2027,0.06,0.05,0
2028,0.06,0.05,0
2029,0.06,0.05,0
2030,0.06,0.05,0
2031,0.06,0.05,0
2032,0.06,0.05,0
2033,0.06,0.05,0
2034,0.06,0.05,0
2035,0.06,0.05,0
2036,0.06,0.05,0
2037,0.06,0.05,0
2038,0.06,0.05,0
2039,0.06,0.05,0
2040,0.06,0.05,0
2041,0.06,0.05,0
2042,0.06,0.05,0
2043,0.06,0.05,0
2044,0.06,0.05,0
2045,0.06,0.05,0
2046,0.06,0.05,0
2047,0.06,0.05,0
2048,0.06,0.05,0
2049,0.06,0.05,0
2050,0.06,0.05,0
