ModelYear,AutoIcevMpg,AutoHevMpg,AutoPhevMpg,LtTrkIcevMpg,LtTrkHevMpg,LtTrkPhevMpg,AutoPhevMpkwh,LtTrkPhevMpkwh,AutoBevMpkwh,LtTrkBevMpkwh,AutoPhevRange,LtTrkPhevRange,AutoBevRange,LtTrkBevRange
1975,13.16,43.34615385,43.34615385,11,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1976,14.57,43.34615385,43.34615385,11.56,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1977,15.23,43.34615385,43.34615385,12.31,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1978,16.73,43.34615385,43.34615385,11.94,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1979,16.83,43.34615385,43.34615385,11.47,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1980,19.83,43.34615385,43.34615385,15.04,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1981,21.24,43.34615385,43.34615385,16.26,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1982,22.37,43.34615385,43.34615385,16.64,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1983,22.28,43.34615385,43.34615385,17.2,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1984,22.35,43.34615385,43.34615385,17.58,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1985,23.34,43.34615385,43.34615385,17.53,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1986,23.97,43.34615385,43.34615385,18.73,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1987,24.35,43.34615385,43.34615385,18.55,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1988,24.61,43.34615385,43.34615385,18.03,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1989,24.43,43.34615385,43.34615385,17.33,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1990,24.82,43.34615385,43.34615385,17.29,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1991,25.25,43.34615385,43.34615385,17.89,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1992,25.35,43.34615385,43.34615385,17.81,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1993,25.72,43.34615385,43.34615385,17.54,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1994,25.72,43.34615385,43.34615385,17.81,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1995,25.94,43.34615385,43.34615385,17.07,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1996,25.98,43.34615385,43.34615385,17.88,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1997,26.22,43.34615385,43.34615385,17.71,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1998,26.2,43.34615385,43.34615385,17.68,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
1999,25.53,43.34615385,43.34615385,17.17,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
2000,25.67,43.34615385,43.34615385,17.31,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
2001,25.72,43.34615385,43.34615385,17.34,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
2002,25.89,41.86885243,41.86885243,17.28,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
2003,26.07,42.81376518,42.81376518,17.6,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
2004,26.07,44.65588399,44.65588399,17.91,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
2005,26.21,43.42042408,43.42042408,18.48,24.92,24.92,2.78,1.529,2.94,2.205,25,18.75,50,37.5
2006,26.02,44.625,44.625,18.92,25.24432641,25.24432641,2.78,1.529,2.94,2.205,25,18.75,50,37.5
2007,26.73,42.46205545,42.46205545,19.25,25.88487282,25.88487282,2.78,1.529,2.94,2.205,25,18.75,50,37.5
2008,27.23,43.534604,43.534604,19.75,25.31851086,25.31851086,2.78,1.529,2.94,2.205,25,18.75,50,37.5
2009,28.15,40.94014416,40.94014416,20.5,25.38350785,25.38350785,2.78,1.529,2.94,2.205,25,18.75,50,37.5
2010,28.31,42.62655205,42.62655205,20.68,26.63837638,26.63837638,2.78,1.529,2.94,2.205,25,18.75,50,37.5
2011,28.54,44.44954819,44.44954819,20.97,27.0814978,27.0814978,2.78,1.529,2.94,2.205,25,18.75,60,45
2012,30.61,43.60761387,43.60761387,21.23,27.25,27.25,3.12,1.716,2.95,2.2125,25,18.75,70,52.5
2013,30.96,44.08439024,44.08439024,21.92,33.16091954,33.16091954,2.94,1.617,3.29,2.4675,25,18.75,80,60
2014,31.5,43.05870618,43.05870618,22.22,32.69230769,32.69230769,2.92,1.606,3.15,2.3625,25,18.75,90,67.5
2015,31.94,44.32894165,44.32894165,23.14,31.00892857,31.00892857,2.88,1.584,3.27,2.4525,25,18.75,103.125,77.34375
2016,32.4,44.63382903,44.63382903,23.82,32.57272365,32.57272365,2.87,1.5785,3.19,2.3925,25,18.75,142.0180646,154.0131642
2017,32.4,44.93871642,44.93871642,24.48,33.33838105,33.33838105,2.886657181,1.587661449,3.208514427,2.40638582,25,18.75,147.6771222,156.3531727
2018,33.05,45.2436038,45.2436038,25.28,33.7702304,33.7702304,2.867846345,1.57731549,3.187606216,2.390704662,25,18.75,152.7558282,160.1135852
2019,34.28,45.54849118,45.54849118,25.89,34.36060943,34.36060943,2.880775696,1.584426633,3.201977167,2.401482875,25,18.75,159.4652802,164.6063091
2020,35.48,45.85337856,45.85337856,26.98,35.74518261,35.74518261,2.912760314,1.602018173,3.237528015,2.428146011,25,18.75,164.8741071,167.8951166
2021,36.95,46.15826594,46.15826594,28.69,38.1333886,38.1333886,2.954601933,1.625031063,3.284034902,2.463026176,30,22.5,169.3783035,169.3783035
2022,38.43,46.46315332,46.46315332,30.16,39.87867164,39.87867164,2.998093493,1.648951421,3.332375694,2.49928177,30,22.5,173.8824999,173.8824999
2023,40.49,46.7680407,46.7680407,31.38,40.81122551,40.81122551,3.05341591,1.679378751,3.393866465,2.545399848,30,22.5,178.3866964,178.3866964
2024,41.56,47.07292809,47.07292809,33.32,42.43072807,42.43072807,3.103522663,1.706937465,3.449560033,2.587170025,30,22.5,182.8908928,182.8908928
2025,43.88,47.37781547,47.37781547,34.19,45.0612024,45.0612024,3.166611816,1.741636499,3.519683517,2.639762637,30,22.5,187.3950892,187.3950892
2026,43.88,47.68270285,47.68270285,34.3,45.14301687,45.14301687,3.20508772,1.762798246,3.562449418,2.671837063,30,22.5,191.8992857,191.8992857
2027,43.88,47.98759023,47.98759023,34.4,45.1770911,45.1770911,3.233907926,1.778649359,3.594483026,2.69586227,30,22.5,196.4034821,196.4034821
2028,43.88,48.29247761,48.29247761,34.45,45.19337288,45.19337288,3.240076536,1.782042095,3.601339425,2.701004569,30,22.5,200.9076785,200.9076785
2029,43.88,48.59736499,48.59736499,34.49,45.21487663,45.21487663,3.244657251,1.784561488,3.606430882,2.704823161,30,22.5,205.4118749,205.4118749
2030,43.88,48.90225237,48.90225237,34.53,45.24921618,45.24921618,3.245166855,1.78484177,3.606997306,2.705247979,30,22.5,209.9160714,209.9160714
2031,43.88,49.20713975,49.20713975,34.53,45.2767259,45.2767259,3.244627515,1.784545133,3.60639783,2.704798373,35,26.25,214.4202678,214.4202678
2032,43.88,49.51202714,49.51202714,34.53,45.29011385,45.29011385,3.244132243,1.784272733,3.605847336,2.704385502,35,26.25,218.9244642,218.9244642
2033,43.88,49.81691452,49.81691452,34.53,45.29918337,45.29918337,3.243755699,1.784065635,3.605428808,2.704071606,35,26.25,223.4286607,223.4286607
2034,43.88,50.1218019,50.1218019,34.54,45.30257279,45.30257279,3.243495104,1.783922307,3.605139158,2.703854368,35,26.25,227.9328571,227.9328571
2035,43.88,50.42668928,50.42668928,34.54,45.28675233,45.28675233,3.243317874,1.783824831,3.604942167,2.703706625,35,26.25,232.4370535,232.4370535
2036,43.88,50.73157666,50.73157666,34.54,45.26206074,45.26206074,3.243208755,1.783764815,3.604820881,2.703615661,35,26.25,236.94125,236.94125
2037,43.88,51.03646404,51.03646404,34.54,45.23255992,45.23255992,3.243171641,1.783744402,3.604779629,2.703584721,35,26.25,241.4454464,241.4454464
2038,43.88,51.34135142,51.34135142,34.54,45.19333384,45.19333384,3.243172579,1.783744918,3.604780671,2.703585503,35,26.25,245.9496428,245.9496428
2039,43.88,51.64623881,51.64623881,34.54,45.14662699,45.14662699,3.243215272,1.7837684,3.604828125,2.703621094,35,26.25,250.4538393,250.4538393
2040,43.88,51.95112619,51.95112619,34.54,45.10220047,45.10220047,3.243307362,1.783819049,3.604930483,2.703697862,35,26.25,254.9580357,254.9580357
2041,43.88,52.25601357,52.25601357,34.54,45.05336627,45.05336627,3.243492684,1.783920976,3.605136468,2.703852351,40,30,259.4622321,259.4622321
2042,43.88,52.56090095,52.56090095,34.54,45.00355046,45.00355046,3.243795421,1.784087482,3.605472959,2.704104719,40,30,263.9664286,263.9664286
2043,43.88,52.86578833,52.86578833,34.54,44.95475928,44.95475928,3.244179836,1.78429891,3.605900236,2.704425177,40,30,268.470625,268.470625
2044,43.88,53.17067571,53.17067571,34.54,44.90763971,44.90763971,3.244622019,1.78454211,3.606391721,2.704793791,40,30,272.9748214,272.9748214
2045,43.88,53.47556309,53.47556309,34.54,44.85588459,44.85588459,3.24509993,1.784804961,3.606922919,2.705192189,40,30,277.4790178,277.4790178
2046,43.88,53.78045047,53.78045047,34.54,44.91299154,44.91299154,3.245603659,1.785082013,3.607482813,2.70561211,40,30,281.9832143,281.9832143
2047,43.88,54.08533786,54.08533786,34.54,44.9179705,44.9179705,3.246020852,1.785311468,3.607946521,2.705959891,40,30,286.4874107,286.4874107
2048,43.88,54.39022524,54.39022524,34.54,44.90388617,44.90388617,3.246076245,1.785341935,3.608008091,2.706006069,40,30,290.9916071,290.9916071
2049,43.88,54.69511262,54.69511262,34.54,44.89632094,44.89632094,3.245793446,1.785186396,3.607693761,2.705770321,40,30,295.4958036,295.4958036
2050,43.88,55,55,34.54,45.0041066,45.0041066,3.245241821,1.784883001,3.60708063,2.705310473,40,30,300,300
