Year,VanIcevMpg,VanHevMpg,VanBevMpkwh,BusIcevMpg,BusHevMpg,BusBevMpkwh,RailIcevMpg,RailHevMpg,RailEvMpkwh
1990,5.5,11.3,0.96,3.71,5.9,0.608,1.6,1.6,0.0959
1991,5.5,11.3,0.96,3.718,5.9,0.608,1.6,1.6,0.09684
1992,5.5,11.3,0.96,3.726,5.9,0.608,1.6,1.6,0.09778
1993,5.5,11.3,0.96,3.734,5.9,0.608,1.6,1.6,0.09872
1994,5.5,11.3,0.96,3.742,5.9,0.608,1.6,1.6,0.09966
1995,5.5,11.3,0.96,3.75,5.9,0.608,1.6,1.6,0.1006
1996,5.9,11.3,0.96,3.75,5.9,0.608,1.6,1.6,0.10276
1997,6.3,11.3,0.96,3.75,5.9,0.608,1.6,1.6,0.10492
1998,6.7,11.3,0.96,3.75,5.9,0.608,1.6,1.6,0.10708
1999,7.1,11.3,0.96,3.75,5.9,0.608,1.6,1.6,0.10924
2000,7.5,11.3,0.96,3.75,5.9,0.608,1.6,1.6,0.1114
2001,7.5,11.3,0.96,3.748,5.9,0.608,1.6,1.6,0.1133
2002,7.5,11.3,0.96,3.746,5.9,0.608,1.6,1.6,0.1152
2003,7.5,11.3,0.96,3.744,5.9,0.608,1.6,1.6,0.1171
2004,7.5,11.3,0.96,3.742,5.9,0.608,1.6,1.6,0.119
2005,7.5,11.3,0.96,3.74,5.9,0.608,1.6,1.6,0.1209
2006,7.7,11.3,0.96,3.778,5.9,0.608,1.6,1.6,0.12456
2007,7.9,11.3,0.96,3.816,5.9,0.608,1.6,1.6,0.12822
2008,8.1,11.3,0.96,3.854,5.9,0.608,1.6,1.6,0.13188
2009,8.3,11.3,0.96,3.892,5.9,0.608,1.6,1.6,0.13554
2010,8.5,11.3,0.96,3.93,5.9,0.608,1.6,1.6,0.1392
2011,8.5,11.3,0.96,3.99,5.9,0.60824,1.6,1.6,0.14182
2012,8.5,11.3,0.96,4.05,5.9,0.60848,1.6,1.6,0.14444
2013,8.5,11.3,0.96,4.11,5.9,0.60872,1.6,1.6,0.14706
2014,8.5,11.3,0.96,4.17,5.9,0.60896,1.6,1.6,0.1497
2015,8.5,11.3,0.96,4.23,5.9,0.6092,1.6,1.6,0.1523
2016,8.72,11.6,0.972,4.2945,6.02,0.6128,1.62,1.62,0.1532
2017,8.94,11.9,0.984,4.359,6.14,0.6164,1.64,1.64,0.1541
2018,9.16,12.2,0.996,4.4235,6.26,0.62,1.66,1.66,0.155
2019,9.38,12.5,1.008,4.488,6.38,0.6236,1.68,1.68,0.1559
2020,9.6,12.8,1.02,4.5525,6.5,0.6272,1.7,1.7,0.1568
2021,9.6,12.8,1.02,4.6245,6.5,0.63456,1.7,1.7,0.15864
2022,9.6,12.8,1.02,4.6965,6.5,0.64192,1.7,1.7,0.16048
2023,9.6,12.8,1.02,4.7685,6.5,0.64928,1.7,1.7,0.16232
2024,9.6,12.8,1.02,4.8405,6.5,0.65664,1.7,1.7,0.16416
2025,9.6,12.8,1.02,4.9125,6.5,0.664,1.7,1.7,0.166
2026,9.84,13.1,1.032,4.9875,6.7,0.672,1.74,1.74,0.168
2027,10.08,13.4,1.044,5.0625,6.9,0.68,1.78,1.78,0.17
2028,10.32,13.7,1.056,5.1375,7.1,0.688,1.82,1.82,0.172
2029,10.56,14,1.068,5.2125,7.3,0.696,1.86,1.86,0.174
2030,10.8,14.3,1.08,5.2875,7.5,0.704,1.9,1.9,0.176
2031,10.8,14.3,1.08,5.34,7.5,0.712,1.9,1.9,0.178
2032,10.8,14.3,1.08,5.3925,7.5,0.72,1.9,1.9,0.18
2033,10.8,14.3,1.08,5.445,7.5,0.728,1.9,1.9,0.182
2034,10.8,14.3,1.08,5.4975,7.5,0.736,1.9,1.9,0.184
2035,10.8,14.3,1.08,5.55,7.5,0.744,1.9,1.9,0.186
2036,10.8,14.3,1.092,5.565,7.5,0.752,1.9,1.9,0.188
2037,10.8,14.3,1.104,5.58,7.5,0.76,1.9,1.9,0.19
2038,10.8,14.3,1.116,5.595,7.5,0.768,1.9,1.9,0.192
2039,10.8,14.3,1.128,5.61,7.5,0.776,1.9,1.9,0.194
2040,10.8,14.3,1.14,5.625,7.5,0.784,1.9,1.9,0.196
2041,10.8,14.3,1.14,5.625,7.5,0.792,1.9,1.9,0.198
2042,10.8,14.3,1.14,5.625,7.5,0.8,1.9,1.9,0.2
2043,10.8,14.3,1.14,5.625,7.5,0.808,1.9,1.9,0.202
2044,10.8,14.3,1.14,5.625,7.5,0.816,1.9,1.9,0.204
2045,10.8,14.3,1.14,5.625,7.5,0.824,1.9,1.9,0.206
2046,10.8,14.3,1.152,5.625,7.5,0.832,1.9,1.9,0.208
2047,10.8,14.3,1.164,5.625,7.5,0.84,1.9,1.9,0.21
2048,10.8,14.3,1.176,5.625,7.5,0.848,1.9,1.9,0.212
2049,10.8,14.3,1.188,5.625,7.5,0.856,1.9,1.9,0.214
2050,10.8,14.3,1.2,5.625,7.5,0.864,1.9,1.9,0.216
