Scenario,B,C,D,E,F,G,I,L,P,T,V,GHGReduction,DVMTPerCapita,WalkTravelPerCapita,TruckDelay,AirPollutionEm,FuelUse,VehicleCost,VehicleCostLow,Bicycles,Demand_Management,Land_Use,Parking,Transit,Vehicle_Travel_Cost,Vehicle_Characteristics,Technology_Mix_and_CI,Driving_Efficiency,Fuel_Price,Income,Strategy_Community_Design,Strategy_Marketing_Incentive,Strategy_Pricing,Strategy_Vehicles_Fuels,Strategy_Fuel_Price,Strategy_Income,scenario_index
B1C1D1E1F1G1I1L1P1T1V1,1,1,1,1,1,1,1,1,1,1,1,0,19.6096,0.3489,0,802362.5458,35078019.0482,4.5443,23.9726,Base,Base,Base,Base,Base,Base,Base,Base,Base,Base,Base,1,1,1,0,0,0,1
B1C1D1E1F1G1I1L1P1T1V2,1,1,1,1,1,1,1,1,1,1,2,0,19.7694,0.3481,0,747143.5295,32764462.6057,4.9181,26.033,Base,Base,Base,Base,Base,Base,Reduced,Base,Base,Base,Base,1,1,1,1,0,0,2
B1C1D1E1F1G1I1L2P1T2V1,1,1,1,1,1,1,1,2,1,2,1,0,18.2711,0.3589,0,770534.4713,33825723.3276,4.3573,24.6553,Base,Base,Activity Center Growth,Base,Double,Base,Base,Base,Base,Base,Base,2,1,1,0,0,0,3
B1C1D1E1F1G1I1L2P1T2V2,1,1,1,1,1,1,1,2,1,2,2,0,18.4381,0.3579,0,719534.7123,31687591.6449,4.712,26.7824,Base,Base,Activity Center Growth,Base,Double,Base,Reduced,Base,Base,Base,Base,2,1,1,1,0,0,4
B1C1D1E1F1G1I1L2P2T3V1,1,1,1,1,1,1,1,2,2,3,1,0,16.918,0.3836,0,712148.1776,31373364.5612,4.2167,22.3181,Base,Base,Activity Center Growth,Increase parking cost and proportion,Triple,Base,Base,Base,Base,Base,Base,3,1,1,0,0,0,5
B1C1D1E1F1G1I1L2P2T3V2,1,1,1,1,1,1,1,2,2,3,2,0,17.082,0.3826,0,666561.124,29463188.9251,4.5677,24.0951,Base,Base,Activity Center Growth,Increase parking cost and proportion,Triple,Base,Reduced,Base,Base,Base,Base,3,1,1,1,0,0,6
B1C1D1E1F1G1I2L1P1T1V1,1,1,1,1,1,1,2,1,1,1,1,0,19.6604,0.3532,0,801629.9985,35046231.2402,4.2212,24.1207,Base,Base,Base,Base,Base,Base,Base,Base,Base,Base,Income growth 1,1,1,1,0,0,1,7
B1C1D1E1F1G1I2L1P1T1V2,1,1,1,1,1,1,2,1,1,1,2,0,19.8119,0.3524,0,747188.524,32765023.9458,4.5685,26.277,Base,Base,Base,Base,Base,Base,Reduced,Base,Base,Base,Income growth 1,1,1,1,1,0,1,8
B1C1D1E1F1G1I2L2P1T2V1,1,1,1,1,1,1,2,2,1,2,1,0,18.1675,0.3648,0,763946.429,33551748.842,4.0254,24.8218,Base,Base,Activity Center Growth,Base,Double,Base,Base,Base,Base,Base,Income growth 1,2,1,1,0,0,1,9
B1C1D1E1F1G1I2L2P1T2V2,1,1,1,1,1,1,2,2,1,2,2,0,18.3291,0.364,0,714019.6142,31459729.2863,4.3538,26.8765,Base,Base,Activity Center Growth,Base,Double,Base,Reduced,Base,Base,Base,Income growth 1,2,1,1,1,0,1,10
B1C1D1E1F1G1I2L2P2T3V1,1,1,1,1,1,1,2,2,2,3,1,0,16.8439,0.3896,0,706652.0653,31145900.177,3.8953,22.5142,Base,Base,Activity Center Growth,Increase parking cost and proportion,Triple,Base,Base,Base,Base,Base,Income growth 1,3,1,1,0,0,1,11
B1C1D1E1F1G1I2L2P2T3V2,1,1,1,1,1,1,2,2,2,3,2,0,17.0067,0.3886,0,661377.7674,29247434.6284,4.2159,24.3862,Base,Base,Activity Center Growth,Increase parking cost and proportion,Triple,Base,Reduced,Base,Base,Base,Income growth 1,3,1,1,1,0,1,12
B1C1D1E1F1G1I3L1P1T1V1,1,1,1,1,1,1,3,1,1,1,1,0,19.625,0.3573,0,798124.5546,34900908.9495,3.959,24.4184,Base,Base,Base,Base,Base,Base,Base,Base,Base,Base,Income growth 2,1,1,1,0,0,2,13
B1C1D1E1F1G1I3L1P1T1V2,1,1,1,1,1,1,3,1,1,1,2,0,19.7693,0.3565,0,744186.5802,32640909.5269,4.279,26.5774,Base,Base,Base,Base,Base,Base,Reduced,Base,Base,Base,Income growth 2,1,1,1,1,0,2,14
B1C1D1E1F1G1I3L2P1T2V1,1,1,1,1,1,1,3,2,1,2,1,0,18.194,0.3683,0,763625.7255,33538890.5522,3.7677,25.063,Base,Base,Activity Center Growth,Base,Double,Base,Base,Base,Base,Base,Income growth 2,2,1,1,0,0,2,15
B1C1D1E1F1G1I3L2P1T2V2,1,1,1,1,1,1,3,2,1,2,2,0,18.3434,0.3675,0,713702.4067,31444610.4691,4.0697,27.2128,Base,Base,Activity Center Growth,Base,Double,Base,Reduced,Base,Base,Base,Income growth 2,2,1,1,1,0,2,16
B1C1D1E1F1G1I3L2P2T3V1,1,1,1,1,1,1,3,2,2,3,1,0,16.8747,0.393,0,706356.6502,31132613.5781,3.6444,22.7599,Base,Base,Activity Center Growth,Increase parking cost and proportion,Triple,Base,Base,Base,Base,Base,Income growth 2,3,1,1,0,0,2,17
B1C1D1E1F1G1I3L2P2T3V2,1,1,1,1,1,1,3,2,2,3,2,0,17.0283,0.3921,0,661886.1777,29269332.1857,3.9311,24.5085,Base,Base,Activity Center Growth,Increase parking cost and proportion,Triple,Base,Reduced,Base,Base,Base,Income growth 2,3,1,1,1,0,2,18
B1C1D1E1F1G2I1L1P1T1V1,1,1,1,1,1,2,1,1,1,1,1,0,17.898,0.3585,0,720356.7897,31671540.7052,4.5463,23.9755,Base,Base,Base,Base,Base,Base,Base,Base,Base,Double fuel price,Base,1,1,1,0,1,0,19
B1C1D1E1F1G2I1L1P1T1V2,1,1,1,1,1,2,1,1,1,1,2,0,18.244,0.3566,0,681907.5069,30056355.7824,4.92,26.0361,Base,Base,Base,Base,Base,Base,Reduced,Base,Base,Double fuel price,Base,1,1,1,1,1,0,20
B1C1D1E1F1G2I1L2P1T2V1,1,1,1,1,1,2,1,2,1,2,1,0,16.4867,0.3693,0,684018.8773,30233008.5501,4.359,24.658,Base,Base,Activity Center Growth,Base,Double,Base,Base,Base,Base,Double fuel price,Base,2,1,1,0,1,0,21
B1C1D1E1F1G2I1L2P1T2V2,1,1,1,1,1,2,1,2,1,2,2,0,16.8313,0.3673,0,649592.3753,28785126.4856,4.7137,26.7852,Base,Base,Activity Center Growth,Base,Double,Base,Reduced,Base,Base,Double fuel price,Base,2,1,1,1,1,0,22
B1C1D1E1F1G2I1L2P2T3V1,1,1,1,1,1,2,1,2,2,3,1,0,15.1971,0.395,0,629517.0985,27942352.839,4.2182,22.3201,Base,Base,Activity Center Growth,Increase parking cost and proportion,Triple,Base,Base,Base,Base,Double fuel price,Base,3,1,1,0,1,0,23
B1C1D1E1F1G2I1L2P2T3V2,1,1,1,1,1,2,1,2,2,3,2,0,15.5093,0.3929,0,598579.2008,26642500.0667,4.5692,24.0972,Base,Base,Activity Center Growth,Increase parking cost and proportion,Triple,Base,Reduced,Base,Base,Double fuel price,Base,3,1,1,1,1,0,24
B1C1D1E1F1G2I2L1P1T1V1,1,1,1,1,1,2,2,1,1,1,1,0,18.0169,0.3625,0,723067.8306,31783128.8786,4.2231,24.1236,Base,Base,Base,Base,Base,Base,Base,Base,Base,Double fuel price,Income growth 1,1,1,1,0,1,1,25
B1C1D1E1F1G2I2L1P1T1V2,1,1,1,1,1,2,2,1,1,1,2,0,18.3448,0.3606,0,684465.7724,30161130.3859,4.5704,26.2801,Base,Base,Base,Base,Base,Base,Reduced,Base,Base,Double fuel price,Income growth 1,1,1,1,1,1,1,26
B1C1D1E1F1G2I2L2P1T2V1,1,1,1,1,1,2,2,2,1,2,1,0,16.4433,0.375,0,680339.934,30079848.7685,4.027,24.8243,Base,Base,Activity Center Growth,Base,Double,Base,Base,Base,Base,Double fuel price,Income growth 1,2,1,1,0,1,1,27
B1C1D1E1F1G2I2L2P1T2V2,1,1,1,1,1,2,2,2,1,2,2,0,16.7773,0.373,0,646460.4215,28655793.8241,4.3554,26.8792,Base,Base,Activity Center Growth,Base,Double,Base,Reduced,Base,Base,Double fuel price,Income growth 1,2,1,1,1,1,1,28
B1C1D1E1F1G2I2L2P2T3V1,1,1,1,1,1,2,2,2,2,3,1,0,15.1682,0.4007,0,626147.2285,27803206.2285,3.8967,22.516,Base,Base,Activity Center Growth,Increase parking cost and proportion,Triple,Base,Base,Base,Base,Double fuel price,Income growth 1,3,1,1,0,1,1,29
B1C1D1E1F1G2I2L2P2T3V2,1,1,1,1,1,2,2,2,2,3,2,0,15.4816,0.3986,0,595542.6559,26515320.1157,4.2173,24.3882,Base,Base,Activity Center Growth,Increase parking cost and proportion,Triple,Base,Reduced,Base,Base,Double fuel price,Income growth 1,3,1,1,1,1,1,30
B1C1D1E1F1G2I3L1P1T1V1,1,1,1,1,1,2,3,1,1,1,1,0,18.0275,0.3663,0,721826.583,31732113.6943,3.9608,24.4213,Base,Base,Base,Base,Base,Base,Base,Base,Base,Double fuel price,Income growth 2,1,1,1,0,1,2,31
B1C1D1E1F1G2I3L1P1T1V2,1,1,1,1,1,2,3,1,1,1,2,0,18.3483,0.3645,0,683504.0265,30121608.6945,4.2807,26.5804,Base,Base,Base,Base,Base,Base,Reduced,Base,Base,Double fuel price,Income growth 2,1,1,1,1,1,2,32
B1C1D1E1F1G2I3L2P1T2V1,1,1,1,1,1,2,3,2,1,2,1,0,16.5302,0.3781,0,682851.6792,30184539.8662,3.7692,25.0656,Base,Base,Activity Center Growth,Base,Double,Base,Base,Base,Base,Double fuel price,Income growth 2,2,1,1,0,1,2,33
B1C1D1E1F1G2I3L2P1T2V2,1,1,1,1,1,2,3,2,1,2,2,0,16.8542,0.3762,0,648793.9444,28750697.7359,4.0713,27.2155,Base,Base,Activity Center Growth,Base,Double,Base,Reduced,Base,Base,Double fuel price,Income growth 2,2,1,1,1,1,2,34
B1C1D1E1F1G2I3L2P2T3V1,1,1,1,1,1,2,3,2,2,3,1,0,15.2613,0.4038,0,628872.4397,27915332.5907,3.6457,22.7618,Base,Base,Activity Center Growth,Increase parking cost and proportion,Triple,Base,Base,Base,Base,Double fuel price,Income growth 2,3,1,1,0,1,2,35
B1C1D1E1F1G2I3L2P2T3V2,1,1,1,1,1,2,3,2,2,3,2,0,15.5646,0.4018,0,598719.9921,26647876.1342,3.9324,24.5106,Base,Base,Activity Center Growth,Increase parking cost and proportion,Triple,Base,Reduced,Base,Base,Double fuel price,Income growth 2,3,1,1,1,1,2,36
B1C1D1E1F1G3I1L1P1T1V1,1,1,1,1,1,3,1,1,1,1,1,0,14.7462,0.3782,0,577456.4296,25737994.1537,4.5483,23.9769,Base,Base,Base,Base,Base,Base,Base,Base,Base,Quadruple fuel price,Base,1,1,1,0,2,0,37
