Scenario,B,L,T,V,C,M,UrbanLdvDmvtPerCap,AnnualHouseholdVehicleCosts,UrbanTransitTrips,TotalGHG,Annual_Fuel_PC,UrbanLdv_TotalDelay,UrbanHhAveVehPerHh,HhVehTravCostShare,Bike_Diversion,Parking_and_Demand_Management,Land_Use,Energy_Costs_and_Pricing,Transit,Vehicles_&_Fuels,Strategy_Land_Use,Strategy_Bikes_or_Light_Vehicles,Strategy_Energy_Costs_and_Pricing_Policies,Strategy_Transit_Service_and_Vehicles,Strategy_Parking_and_Demand_Managment,Strategy_Vehicles_and_Fuels,scenario_index
B1L1T1V2C1M1,1,1,1,2,1,1,22.2153,11066.4415,4869.9222,0.1088,167.0824,299.905,1.893,0.1206,B1 (2040TR),M,L1 (2040TR),C1,T1 (2040TR),V2 (2040TR),1,1,1,1,1,2,1
B1L1T1V2C1M3,1,1,1,2,1,3,22.0126,11192.6813,4955.7291,0.108,165.8576,295.2706,1.893,0.122,B1 (2040TR),M3,L1 (2040TR),C1,T1 (2040TR),V2 (2040TR),1,1,1,1,3,2,2
B1L1T2V2C1M1,1,1,2,2,1,1,22.1136,11048.5781,5090.2047,0.1082,166.972,296.2441,1.8841,0.1204,B1 (2040TR),M,L1 (2040TR),C1,T2,V2 (2040TR),1,1,1,2,1,2,3
B1L1T2V2C1M3,1,1,2,2,1,3,21.9146,11175.2524,5177.6552,0.1074,165.7765,291.7042,1.8841,0.1218,B1 (2040TR),M3,L1 (2040TR),C1,T2,V2 (2040TR),1,1,1,2,3,2,4
B1L1T3V2C1M1,1,1,3,2,1,1,21.938,11008.8672,5552.173,0.1075,164.6255,289.9426,1.8694,0.12,B1 (2040TR),M,L1 (2040TR),C1,T3,V2 (2040TR),1,1,1,3,1,2,5
B1L1T3V2C1M3,1,1,3,2,1,3,21.7402,11134.9978,5643.9771,0.1067,163.4174,285.4648,1.8694,0.1213,B1 (2040TR),M3,L1 (2040TR),C1,T3,V2 (2040TR),1,1,1,3,3,2,6
B1L1T1V2C2M1,1,1,1,2,2,1,21.0548,11774.7539,5283.7328,0.104,159.7581,254.7248,1.893,0.1283,B1 (2040TR),M,L1 (2040TR),C2,T1 (2040TR),V2 (2040TR),1,1,2,1,1,2,7
B1L1T1V2C2M3,1,1,1,2,2,3,20.7907,11875.5864,5391.9253,0.1029,158.1953,248.7236,1.893,0.1294,B1 (2040TR),M3,L1 (2040TR),C2,T1 (2040TR),V2 (2040TR),1,1,2,1,3,2,8
B1L1T2V2C2M1,1,1,2,2,2,1,20.9747,11756.2673,5513.6207,0.1035,159.8104,251.9988,1.8841,0.1281,B1 (2040TR),M,L1 (2040TR),C2,T2,V2 (2040TR),1,1,2,2,1,2,9
B1L1T2V2C2M3,1,1,2,2,2,3,20.7129,11857.626,5624.5694,0.1024,158.2809,246.1012,1.8841,0.1292,B1 (2040TR),M3,L1 (2040TR),C2,T2,V2 (2040TR),1,1,2,2,3,2,10
B1L1T3V2C2M1,1,1,3,2,2,1,20.8066,11708.2946,6000.5263,0.1028,157.501,246.519,1.8694,0.1276,B1 (2040TR),M,L1 (2040TR),C2,T3,V2 (2040TR),1,1,2,3,1,2,11
B1L1T3V2C2M3,1,1,3,2,2,3,20.5497,11809.8819,6117.447,0.1018,155.9681,240.8121,1.8694,0.1287,B1 (2040TR),M3,L1 (2040TR),C2,T3,V2 (2040TR),1,1,2,3,3,2,12
B1L1T1V2C3M1,1,1,1,2,3,1,20.9901,11806.7299,5306.5365,0.1037,159.3031,252.7245,1.893,0.1287,B1 (2040TR),M,L1 (2040TR),C3,T1 (2040TR),V2 (2040TR),1,1,3,1,1,2,13
